Air temperature,Process temperature,Rotational speed,Torque,Tool wear,Failure Type
298.1,308.6,1551,42.8,0,0
298.2,308.7,1408,46.3,3,0
298.1,308.5,1498,49.4,5,0
298.2,308.6,1433,39.5,7,0
298.2,308.7,1408,40.0,9,0
298.1,308.6,1425,41.9,11,0
298.1,308.6,1558,42.4,14,0
298.1,308.6,1527,40.2,16,0
298.3,308.7,1667,28.6,18,0
298.5,309.0,1741,28.0,21,0
298.4,308.9,1782,23.9,24,0
298.6,309.1,1423,44.3,29,0
298.6,309.1,1339,51.1,34,0
298.6,309.2,1742,30.0,37,0
298.6,309.2,2035,19.6,40,0
298.6,309.2,1542,48.4,42,0
298.6,309.2,1311,46.6,44,0
298.7,309.2,1410,45.6,47,0
298.8,309.2,1306,54.5,50,0
298.9,309.3,1632,32.5,55,0
298.9,309.3,1375,42.7,58,0
298.8,309.3,1450,44.8,63,0
298.9,309.3,1581,30.7,65,0
299.0,309.4,1758,25.7,68,0
299.0,309.4,1561,37.3,70,0
299.0,309.5,1861,23.3,73,0
299.1,309.5,1512,39.0,75,0
299.1,309.4,1811,24.6,77,0
299.1,309.4,1439,44.2,82,0
299.0,309.4,1693,30.1,84,0
299.1,309.5,1339,48.2,86,0
299.0,309.4,1798,25.5,89,0
299.0,309.4,1419,48.3,91,0
298.9,309.3,1665,32.5,93,0
298.8,309.1,1559,34.7,95,0
298.8,309.2,1452,48.6,98,0
298.9,309.2,1581,36.7,101,0
298.8,309.1,1439,39.2,104,0
298.9,309.2,1379,50.7,106,0
298.8,309.1,1350,52.5,111,0
298.8,309.1,1362,45.4,113,0
298.8,309.1,1368,50.8,115,0
298.8,309.1,1368,49.1,117,0
298.8,309.2,1372,48.5,120,0
298.8,309.1,1472,47.5,125,0
298.8,309.1,1489,49.1,128,0
298.7,309.0,1843,25.8,130,0
298.8,309.1,1418,46.3,133,0
298.8,309.2,1425,53.9,135,0
298.9,309.2,1412,44.1,140,0
298.9,309.1,2861,4.6,143,2
298.9,309.1,1383,54.9,145,0
298.8,309.0,1497,43.8,147,0
298.7,309.0,1565,35.1,152,0
298.7,309.0,1691,30.1,154,0
298.8,309.1,1512,40.7,156,0
298.8,309.1,1477,42.4,158,0
298.8,309.1,1513,40.3,160,0
298.8,309.0,1661,29.5,162,0
298.8,309.1,1378,54.4,165,0
298.8,309.1,1393,52.6,167,0
